Team,Pts,Shots,Touches,Tackles,Interceptions,Red Cards,Booking Points,Number of Injuries,Days Lost to Injury,UCL Particp,Relegated
Aston Villa0607,50,470,20002,936,221,1,505,19,1019,0,0
Blackburn Rovers0607,52,478,20812,864,282,7,985,16,1389,0,0
Bolton Wanderers0607,56,404,18932,811,235,4,920,16,851,0,0
Everton0607,58,465,19250,860,303,2,720,21,1022,0,0
Fulham0607,39,451,18705,901,198,3,655,18,1128,0,0
Manchester City0607,42,454,19378,986,234,4,700,21,1226,0,0
Middlesbrough0607,46,454,19199,841,238,2,700,29,1346,0,0
Newcastle United0607,43,454,21213,965,361,1,695,39,2019,0,0
Portsmouth0607,54,525,19377,948,220,1,515,19,644,0,0
Reading0607,55,419,18017,855,277,3,475,22,1827,0,0
Tottenham Hotspur0607,60,520,22200,995,276,4,560,36,1419,0,0
West Ham United0607,41,461,20040,860,233,2,910,23,1147,0,0
Wigan Athletic0607,38,474,17551,809,204,3,835,19,777,0,0
Aston Villa0708,60,511,20734,885,461,4,660,8,426,0,0
Blackburn Rovers0708,58,530,22599,833,550,6,890,14,674,0,0
Bolton Wanderers0708,37,451,20846,866,542,0,760,20,809,0,0
Everton0708,65,474,21360,816,496,3,475,28,908,0,0
Fulham0708,36,469,21259,851,466,6,750,15,609,0,0
Manchester City0708,55,423,23405,916,482,4,610,17,378,0,0
Middlesbrough0708,42,499,21064,835,528,2,890,22,770,0,0
Newcastle United0708,43,481,22761,876,553,1,635,26,1243,0,0
Portsmouth0708,57,559,21907,963,521,3,655,21,848,0,0
Sunderland0708,39,483,21415,892,650,4,770,26,1499,0,0
Tottenham Hotspur0708,46,555,24679,960,534,1,545,24,733,0,0
West Ham United0708,49,500,22336,848,444,2,710,39,1195,0,0
Wigan Athletic0708,40,489,19847,883,531,4,710,15,318,0,0
Aston Villa0809,62,472,23020,982,710,2,580,17,465,0,0
Blackburn Rovers0809,41,473,23450,824,557,4,860,16,906,0,0
Bolton Wanderers0809,41,488,20876,890,555,1,635,16,875,0,0
Everton0809,63,496,25205,775,660,1,515,29,1490,0,0
Fulham0809,53,511,26306,812,667,1,435,11,375,0,0
Hull City0809,35,476,21712,811,624,3,795,18,909,0,0
Manchester City0809,50,572,26120,939,740,4,610,28,1594,0,0
Portsmouth0809,41,500,25414,922,653,5,745,36,1384,0,0
Stoke City0809,45,364,18693,688,574,5,865,18,804,0,0
Sunderland0809,36,473,24442,888,609,1,725,26,1411,0,0
Tottenham Hotspur0809,51,544,26576,781,743,5,685,6,804,0,0
West Ham United0809,51,515,25662,896,606,4,770,26,1465,0,0
Wigan Athletic0809,45,590,23071,934,685,4,710,10,498,0,0
Aston Villa0910,64,497,23210,880,829,2,660,13,528,0,0
Birmingham City0910,50,452,23678,785,827,1,765,29,1331,0,0
Blackburn Rovers0910,50,489,21245,709,805,2,640,26,689,0,0
Bolton Wanderers0910,39,558,21587,912,804,5,875,19,1331,0,0
Everton0910,61,589,24914,768,755,2,620,26,1046,0,0
Fulham0910,46,463,26134,745,752,1,485,27,1069,0,0
Manchester City0910,67,526,26446,802,735,2,560,33,1332,0,0
Stoke City0910,47,402,19825,724,690,5,785,18,424,0,0
Sunderland0910,44,444,22903,890,681,9,1045,26,982,0,0
Tottenham Hotspur0910,70,681,25855,844,674,1,595,27,1265,0,0
West Ham United0910,35,549,24973,830,661,3,735,33,1433,0,0
Wigan Athletic0910,36,555,25000,908,602,3,715,10,265,0,0
Wolverhampton Wanderers0910,38,436,22641,705,537,4,740,20,1022,0,0
Aston Villa1011,48,506,22681,844,667,2,760,25,864,0,0
Blackburn Rovers1011,43,453,19421,748,734,4,750,21,872,0,0
Bolton Wanderers1011,46,570,21351,939,627,5,795,14,867,0,0
Everton1011,54,580,22628,768,470,5,705,25,952,0,0
Fulham1011,49,547,24796,799,668,1,535,22,1171,0,0
Liverpool1011,58,582,24941,908,592,2,680,24,935,0,0
Manchester City1011,71,546,25892,826,629,5,865,23,826,0,0
Newcastle United1011,46,507,22108,666,608,2,800,26,1339,0,0
Stoke City1011,46,482,18195,716,532,1,725,18,696,0,0
Sunderland1011,47,532,22628,820,694,5,715,33,1434,0,0
West Bromwich Albion1011,47,597,22224,725,662,7,715,13,583,0,0
Wigan Athletic1011,42,511,23517,914,763,4,780,13,487,0,0
Wolverhampton Wanderers1011,40,459,22772,677,520,2,680,27,1117,0,0
Aston Villa1112,38,438,21017,774,740,2,750,21,806,0,0
Everton1112,56,520,22706,624,617,1,635,21,716,0,0
Fulham1112,52,541,24891,669,644,0,540,33,1245,0,0
Liverpool1112,52,667,26441,728,505,5,685,15,794,0,0
Newcastle United1112,65,489,22210,744,621,2,720,27,1258,0,0
Norwich City1112,47,514,22830,692,468,3,665,14,968,0,0
Queens Park Rangers1112,37,539,21309,764,547,9,795,19,1105,0,0
Stoke City1112,45,376,18933,655,461,2,660,14,557,0,0
Sunderland1112,45,458,21770,824,652,3,675,22,956,0,0
Swansea City1112,47,472,28300,709,579,2,450,12,759,0,0
Tottenham Hotspur1112,69,701,27761,733,716,3,525,36,1450,0,0
West Bromwich Albion1112,47,544,22205,683,556,1,505,24,868,0,0
Wigan Athletic1112,43,519,22943,729,578,3,755,11,474,0,0
Aston Villa1213,41,438,22297,741,769,3,815,31,1225,0,0
Everton1213,63,633,23846,720,592,3,675,20,714,0,0
Fulham1213,43,460,24744,680,745,3,555,29,1077,0,0
Liverpool1213,61,739,27722,795,526,2,590,17,860,0,0
Newcastle United1213,41,533,23005,732,478,4,820,41,1745,0,0
Norwich City1213,44,413,20675,676,540,1,625,21,845,0,0
Southampton1213,41,516,25365,819,779,2,480,24,707,0,0
Stoke City1213,42,390,19824,728,499,4,900,16,496,0,0
