Team,Pts,Shots,Touches,Tackles,Interceptions,Red Cards,Booking Points,Number of Injuries,Days Lost to Injury,UCL Particp,Relegated
Charlton Athletic0607,34,418,19497,919,340,4,680,20,1103,0,1
Sheffield United0607,38,483,17713,917,203,2,730,21,879,0,1
Watford0607,28,418,16772,744,221,2,530,16,1134,0,1
Birmingham City0708,35,414,19541,935,515,3,765,16,672,0,1
Derby County0708,11,376,20138,898,510,1,645,22,918,0,1
Reading0708,36,441,19140,800,452,5,735,20,998,0,1
Middlesbrough0809,32,498,23322,784,607,3,615,29,977,0,1
Newcastle United0809,34,444,24327,735,591,8,800,37,1508,0,1
West Bromwich Albion0809,32,559,24904,803,591,1,695,31,1323,0,1
Burnley0910,30,459,23571,686,777,2,620,16,912,0,1
Hull City0910,30,388,21522,760,743,6,820,24,842,0,1
Portsmouth0910,19,533,23416,774,705,5,845,37,1301,0,1
Birmingham City1011,39,401,21652,668,573,3,645,21,879,0,1
Blackpool1011,39,531,23616,780,451,2,520,13,754,0,1
West Ham United1011,33,572,21823,783,583,1,605,20,954,0,1
Blackburn Rovers1112,31,453,20036,690,716,5,805,20,801,0,1
Bolton Wanderers1112,36,495,21694,732,694,5,635,15,1054,0,1
Wolverhampton Wanderers1112,25,473,22585,619,598,4,740,18,690,0,1
Queens Park Rangers1213,25,500,21941,818,660,3,665,36,1150,0,1
Reading1213,28,394,19613,602,560,1,475,22,882,0,1
Wigan Athletic1213,36,500,25173,716,692,2,710,22,1281,0,1
Cardiff City1314,30,418,22018,619,491,1,515,21,609,0,1
Fulham1314,32,431,22771,702,499,1,595,32,1095,0,1
Norwich City1314,33,467,22570,675,529,2,670,20,978,0,1
Burnley1415,33,430,21624,615,568,2,690,16,871,0,1
Hull City1415,35,428,22464,763,607,6,860,26,1145,0,1
Queens Park Rangers1415,30,534,21907,781,561,3,825,31,1283,0,1
Aston Villa1516,17,380,23234,709,768,3,825,50,1336,0,1
Newcastle United1516,37,397,22990,793,646,5,705,61,2230,0,1
Norwich City1516,34,418,21936,608,473,3,685,35,723,0,1
