Team,Pts,Shots,Touches,Tackles,Interceptions,Red Cards,Booking Points,Number of Injuries,Days Lost to Injury,UCL Particp,Relegated
Arsenal0607,68,638,25592,998,214,3,665,20,1072,1,0
Chelsea0607,83,636,24010,982,292,4,740,23,916,1,0
Liverpool0607,68,668,24150,969,246,0,430,20,1052,1,0
Manchester United0607,89,698,25686,890,254,1,625,19,746,1,0
Arsenal0708,83,627,28156,878,505,3,635,32,2004,1,0
Chelsea0708,85,605,26279,917,506,6,800,18,616,1,0
Liverpool0708,76,686,25857,1089,614,1,485,19,745,1,0
Manchester United0708,87,696,26613,978,446,2,560,25,724,1,0
Arsenal0809,72,662,29877,875,872,3,675,30,1024,1,0
Chelsea0809,83,797,29962,773,504,3,575,26,118,1,0
Liverpool0809,86,736,29875,927,657,0,500,20,782,1,0
Manchester United0809,90,715,30077,741,640,5,765,33,1176,1,0
Arsenal0910,75,660,29807,818,839,1,585,41,1868,1,0
Chelsea0910,86,834,28914,772,763,5,685,29,1077,1,0
Liverpool0910,63,642,28704,958,738,5,685,30,1059,1,0
Manchester United0910,85,695,28968,828,730,4,610,37,1398,1,0
Arsenal1011,68,654,28629,772,709,6,830,34,1478,1,0
Chelsea1011,71,745,27426,769,616,1,615,12,687,1,0
Manchester United1011,80,618,26671,693,646,3,655,26,1068,1,0
Tottenham Hotspur1011,62,657,25438,754,661,2,560,37,1486,1,0
Arsenal1112,70,637,28326,751,605,4,770,28,1343,1,0
Chelsea1112,64,671,26276,698,637,4,850,13,356,1,0
Manchester City112,89,738,28620,694,631,5,685,7,186,1,0
Manchester United112,89,646,28113,803,574,1,535,39,1681,1,0
Arsenal1213,73,597,28862,748,636,5,565,27,955,1,0
Chelsea1213,75,626,25949,710,504,3,595,16,565,1,0
Manchester City1213,78,660,27512,683,492,3,705,26,954,1,0
Manchester United1213,89,561,27254,731,515,1,595,27,1088,1,0
Arsenal1314,79,523,29825,714,541,4,630,35,1716,1,0
Chelsea1314,82,692,26541,733,380,3,635,19,556,1,0
Manchester City1314,86,673,28341,756,496,1,745,34,929,1,0
Manchester United1314,64,526,27367,676,595,3,735,38,1146,1,0
Arsenal1415,75,610,29045,739,762,2,730,35,1466,1,0
Chelsea1415,87,564,27861,759,376,4,870,19,428,1,0
Liverpool1415,62,590,27353,798,442,3,735,28,1095,1,0
Manchester City1415,79,670,29652,751,569,2,820,24,630,1,0
Arsenal1516,71,571,29337,731,734,4,490,43,1137,1,0
Chelsea1516,50,526,27362,790,518,6,730,56,995,1,0
Manchester City1516,66,614,28396,729,630,0,610,79,1494,1,0
Manchester United1516,66,430,27542,760,594,1,675,69,1712,1,0
